DL,2561,ABE,ATL,600,818
EV,4940,ABE,ATL,1303,1513
EV,5197,ABE,ATL,1610,1827
DL,1452,ABQ,ATL,630,1127
DL,2318,ABQ,ATL,804,1301
DL,1784,ABQ,ATL,1320,1815
EV,5290,ABY,ATL,600,650
EV,5334,ABY,ATL,1205,1301
EV,5335,ABY,ATL,1729,1830
NK,133,ACY,ATL,1215,1424
EV,5286,AEX,ATL,605,840
EV,5485,AEX,ATL,1112,1347
EV,5442,AEX,ATL,1341,1614
EV,5155,AEX,ATL,1725,2002
EV,5108,AGS,ATL,530,623
DL,1430,AGS,ATL,630,731
DL,1245,AGS,ATL,755,903
EV,5541,AGS,ATL,1032,1130
EV,5580,AGS,ATL,1255,1357
EV,4969,AGS,ATL,1550,1650
EV,5411,AGS,ATL,1700,1756
EV,5107,AGS,ATL,1852,1959
DL,2352,ALB,ATL,615,902
DL,1543,ALB,ATL,1242,1529
DL,2033,ALB,ATL,1818,2109
EV,4940,ATL,ABE,1025,1228
EV,5197,ATL,ABE,1341,1535
DL,2582,ATL,ABE,2100,2303
DL,1784,ATL,ABQ,1102,1235
DL,1142,ATL,ABQ,1659,1833
DL,305,ATL,ABQ,1959,2134
EV,5334,ATL,ABY,1045,1140
EV,5335,ATL,ABY,1611,1700
EV,5351,ATL,ABY,2041,2130
NK,332,ATL,ACY,1504,1655
EV,5485,ATL,AEX,959,1045
EV,5442,ATL,AEX,1231,1316
EV,5155,ATL,AEX,1615,1700
EV,5156,ATL,AEX,2044,2127
EV,5541,ATL,AGS,905,957
EV,5580,ATL,AGS,1130,1219
EV,4969,ATL,AGS,1423,1515
EV,5411,ATL,AGS,1515,1608
EV,5107,ATL,AGS,1725,1817
DL,2411,ATL,AGS,1920,2017
DL,2637,ATL,AGS,2124,2216
EV,5060,ATL,AGS,2305,2355
DL,1543,ATL,ALB,945,1202
DL,2033,ATL,ALB,1517,1738
DL,1515,ATL,ALB,1931,2147
DL,2562,ATL,ATW,1935,2052
DL,1868,ATL,AUS,835,1004
DL,1858,ATL,AUS,1005,1136
WN,1796,ATL,AUS,1025,1205
DL,881,ATL,AUS,1217,1346
DL,925,ATL,AUS,1432,1601
DL,663,ATL,AUS,1619,1750
F9,1493,ATL,AUS,1835,2005
DL,965,ATL,AUS,1932,2105
WN,1004,ATL,AUS,2155,2330
DL,2813,ATL,AUS,2229,2358
EV,5226,ATL,AVL,908,1001
EV,5222,ATL,AVL,1315,1405
DL,2556,ATL,AVL,1522,1623
EV,4971,ATL,AVL,1753,1848
DL,2289,ATL,AVL,2040,2139
EV,5292,ATL,AVL,2305,2359
DL,1063,ATL,AVP,2044,2245
DL,2457,ATL,BDL,726,942
DL,1696,ATL,BDL,948,1202
DL,2465,ATL,BDL,1227,1440
DL,1690,ATL,BDL,1404,1623
DL,1724,ATL,BDL,1530,1752
DL,514,ATL,BDL,1745,2004
DL,1062,ATL,BDL,2200,20
DL,1051,ATL,BHM,840,830
DL,1988,ATL,BHM,941,935
DL,1686,ATL,BHM,1050,1045
DL,2511,ATL,BHM,1235,1227
DL,2288,ATL,BHM,1415,1410
DL,1626,ATL,BHM,1551,1548
DL,117,ATL,BHM,1645,1640
DL,2525,ATL,BHM,1816,1811
DL,2383,ATL,BHM,1959,1955
DL,2590,ATL,BHM,2110,2108
DL,1819,ATL,BHM,2310,2304
EV,5460,ATL,BMI,1515,1558
EV,5423,ATL,BMI,2115,2200
DL,2189,ATL,BNA,830,835
DL,1066,ATL,BNA,951,959
DL,1412,ATL,BNA,1100,1108
DL,1257,ATL,BNA,1215,1219
DL,1676,ATL,BNA,1343,1350
DL,2599,ATL,BNA,1520,1530
DL,2176,ATL,BNA,1628,1640
DL,1173,ATL,BNA,1757,1803
DL,955,ATL,BNA,1915,1924
DL,342,ATL,BNA,2050,2101
DL,1552,ATL,BNA,2214,2222
DL,1709,ATL,BNA,2315,2320
DL,104,ATL,BOS,735,1005
WN,4042,ATL,BOS,805,1035
DL,2785,ATL,BOS,845,1109
DL,2102,ATL,BOS,1006,1238
DL,1200,ATL,BOS,1126,1355
NK,163,ATL,BOS,1148,1418
DL,1400,ATL,BOS,1255,1524
WN,124,ATL,BOS,1335,1605
DL,1500,ATL,BOS,1355,1627
DL,980,ATL,BOS,1550,1829
DL,1800,ATL,BOS,1650,1930
DL,1900,ATL,BOS,1750,2025
DL,2100,ATL,BOS,1925,2152
DL,903,ATL,BOS,2049,2322
WN,1550,ATL,BOS,2130,5
DL,2300,ATL,BOS,2155,23
EV,4992,ATL,BQK,1027,1135
EV,5527,ATL,BQK,1449,1552
EV,5529,ATL,BQK,1936,2040
EV,5166,ATL,BTR,810,850
EV,4915,ATL,BTR,1025,1106
DL,1278,ATL,BTR,1340,1419
EV,5440,ATL,BTR,1620,1655
EV,5502,ATL,BTR,1753,1829
EV,5137,ATL,BTR,1905,1944
EV,5081,ATL,BTR,2051,2129
EV,5247,ATL,BTR,2155,2229
DL,1672,ATL,BUF,817,1018
DL,723,ATL,BUF,1031,1229
DL,1159,ATL,BUF,1329,1525
DL,1176,ATL,BUF,1625,1826
DL,2473,ATL,BUF,2106,2317
WN,430,ATL,BWI,650,835
DL,1925,ATL,BWI,725,912
DL,995,ATL,BWI,850,1040
WN,819,ATL,BWI,940,1130
DL,2125,ATL,BWI,955,1147
DL,2325,ATL,BWI,1115,1305
WN,3087,ATL,BWI,1140,1325
NK,828,ATL,BWI,1149,1329
DL,1153,ATL,BWI,1235,1420
DL,1425,ATL,BWI,1347,1537
WN,349,ATL,BWI,1350,1535
DL,1824,ATL,BWI,1455,1645
DL,1525,ATL,BWI,1624,1820
DL,875,ATL,BWI,1734,1928
WN,498,ATL,BWI,1740,1930
DL,2024,ATL,BWI,1912,2105
WN,261,ATL,BWI,1925,2120
DL,880,ATL,BWI,2055,2249
DL,1924,ATL,BWI,2205,2353
WN,5144,ATL,BWI,2220,5
EV,5111,ATL,CAE,810,911
EV,5094,ATL,CAE,1026,1124
EV,4892,ATL,CAE,1356,1454
EV,5604,ATL,CAE,1515,1615
DL,1421,ATL,CAE,1640,1740
EV,5224,ATL,CAE,1755,1851
DL,1359,ATL,CAE,1932,2035
EV,5503,ATL,CAE,2155,2251
DL,2348,ATL,CAE,2313,9
WN,371,ATL,CAK,835,1015
DL,1190,ATL,CAK,905,1039
DL,2211,ATL,CAK,1305,1441
DL,1998,ATL,CAK,1543,1725
DL,1571,ATL,CAK,2156,2339
WN,257,ATL,CAK,2245,25
EV,5538,ATL,CHA,811,855
EV,5177,ATL,CHA,1026,1116
EV,4875,ATL,CHA,1208,1255
EV,4901,ATL,CHA,1440,1523
DL,1958,ATL,CHA,1535,1618
OO,4613,ATL,CHA,1712,1758
DL,1600,ATL,CHA,1825,1914
EV,5036,ATL,CHA,1944,2034
DL,2347,ATL,CHA,2044,2135
DL,1573,ATL,CHA,2305,2352
OO,4594,ATL,CHO,1032,1204
EV,5496,ATL,CHO,1454,1620
DL,2402,ATL,CHO,1920,2051
DL,1670,ATL,CHS,830,938
DL,1350,ATL,CHS,935,1044
DL,1463,ATL,CHS,1051,1202
DL,1121,ATL,CHS,1220,1331
DL,2472,ATL,CHS,1341,1450
DL,1791,ATL,CHS,1507,1620
DL,2596,ATL,CHS,1640,1754
DL,1971,ATL,CHS,1755,1908
DL,1607,ATL,CHS,1925,2036
DL,1730,ATL,CHS,2045,2156
DL,2207,ATL,CHS,2305,14
EV,5068,ATL,CID,1518,1628
EV,5225,ATL,CID,2104,2211
DL,1470,ATL,CLE,836,1019
DL,1474,ATL,CLE,1031,1215
DL,2528,ATL,CLE,1259,1443
F9,1408,ATL,CLE,1305,1445
DL,1732,ATL,CLE,1410,1557
DL,1946,ATL,CLE,1624,1815
NK,246,ATL,CLE,1700,1852
DL,2291,ATL,CLE,1915,2109
DL,2548,ATL,CLE,2041,2227
DL,2529,ATL,CLE,2210,3
AA,658,ATL,CLT,545,650
AA,1905,ATL,CLT,700,814
DL,2422,ATL,CLT,725,848
AA,713,ATL,CLT,850,1009
DL,2609,ATL,CLT,851,1005
DL,2251,ATL,CLT,1005,1119
AA,691,ATL,CLT,1040,1157
DL,1095,ATL,CLT,1129,1238
DL,2597,ATL,CLT,1230,1348
DL,2133,ATL,CLT,1345,1502
AA,2036,ATL,CLT,1355,1506
DL,2642,ATL,CLT,1500,1610
AA,2070,ATL,CLT,1535,1648
DL,826,ATL,CLT,1610,1725
DL,1407,ATL,CLT,1737,1857
AA,643,ATL,CLT,1740,1852
DL,2052,ATL,CLT,1915,2029
DL,1076,ATL,CLT,2040,2157
DL,1441,ATL,CLT,2305,12
DL,1681,ATL,CMH,740,908
WN,350,ATL,CMH,830,1005
DL,1276,ATL,CMH,956,1128
DL,755,ATL,CMH,1205,1334
DL,1695,ATL,CMH,1425,1554
WN,2576,ATL,CMH,1555,1725
DL,1347,ATL,CMH,1610,1743
DL,1314,ATL,CMH,1746,1920
DL,830,ATL,CMH,1924,2100
DL,1881,ATL,CMH,2220,2351
WN,128,ATL,CMH,2240,10
DL,2117,ATL,COS,1920,2039
EV,5582,ATL,CRW,950,1110
EV,5425,ATL,CRW,1222,1342
OO,4735,ATL,CRW,1455,1617
EV,5072,ATL,CRW,1725,1843
DL,993,ATL,CRW,2155,2316
EV,5190,ATL,CSG,1006,1050
EV,5566,ATL,CSG,1340,1423
EV,5474,ATL,CSG,1622,1704
EV,4989,ATL,CSG,2010,2050
DL,1148,ATL,CVG,728,850
DL,2011,ATL,CVG,951,1117
DL,2435,ATL,CVG,1218,1341
DL,333,ATL,CVG,1406,1529
DL,1138,ATL,CVG,1611,1738
DL,668,ATL,CVG,1914,2042
DL,2239,ATL,CVG,2205,2332
DL,2387,ATL,DAB,925,1040
DL,1087,ATL,DAB,1205,1322
DL,2439,ATL,DAB,1555,1713
DL,2587,ATL,DAB,2211,2334
WN,618,ATL,DAL,640,800
DL,1279,ATL,DAL,810,928
WN,17,ATL,DAL,910,1030
DL,1513,ATL,DAL,1050,1206
WN,2123,ATL,DAL,1310,1430
DL,2055,ATL,DAL,1358,1515
WN,47,ATL,DAL,1605,1725
DL,2445,ATL,DAL,1610,1725
WN,5141,ATL,DAL,2100,2225
DL,2409,ATL,DAL,2105,2229
DL,1521,ATL,DAY,816,942
DL,1161,ATL,DAY,1215,1344
DL,2337,ATL,DAY,1601,1731
DL,2852,ATL,DAY,2057,2235
DL,2638,ATL,DCA,725,907
DL,2538,ATL,DCA,820,959
WN,2768,ATL,DCA,915,1100
DL,2438,ATL,DCA,920,1059
DL,150,ATL,DCA,1020,1201
DL,1855,ATL,DCA,1120,1259
WN,2779,ATL,DCA,1135,1320
DL,2338,ATL,DCA,1220,1404
DL,2238,ATL,DCA,1319,1459
WN,2890,ATL,DCA,1345,1530
DL,2138,ATL,DCA,1420,1602
DL,2038,ATL,DCA,1520,1712
WN,1672,ATL,DCA,1605,1750
DL,1938,ATL,DCA,1620,1808
DL,1838,ATL,DCA,1720,1903
WN,260,ATL,DCA,1815,2000
DL,1738,ATL,DCA,1820,2003
DL,1638,ATL,DCA,1920,2110
DL,374,ATL,DCA,2035,2218
DL,1438,ATL,DCA,2145,2329
WN,2099,ATL,DCA,2220,2355
F9,429,ATL,DEN,705,825
WN,105,ATL,DEN,755,920
DL,1816,ATL,DEN,825,950
UA,533,ATL,DEN,845,1020
DL,1382,ATL,DEN,940,1105
DL,1916,ATL,DEN,1106,1231
WN,387,ATL,DEN,1330,1455
DL,1817,ATL,DEN,1340,1507
DL,2016,ATL,DEN,1505,1636
UA,453,ATL,DEN,1640,1814
DL,2266,ATL,DEN,1759,1925
WN,1026,ATL,DEN,1825,1955
DL,1903,ATL,DEN,1910,2039
UA,842,ATL,DEN,1945,2124
F9,421,ATL,DEN,2025,2146
AA,1635,ATL,DFW,608,735
DL,1243,ATL,DFW,738,902
AA,1607,ATL,DFW,740,913
DL,2310,ATL,DFW,900,1025
AA,349,ATL,DFW,915,1047
DL,1710,ATL,DFW,1005,1135
AA,1641,ATL,DFW,1107,1234
DL,2110,ATL,DFW,1121,1250
DL,1171,ATL,DFW,1240,1410
AA,1427,ATL,DFW,1300,1430
DL,1910,ATL,DFW,1350,1523
AA,1473,ATL,DFW,1441,1610
DL,2361,ATL,DFW,1500,1632
AA,344,ATL,DFW,1604,1735
DL,1810,ATL,DFW,1618,1750
AA,1087,ATL,DFW,1725,1900
DL,1445,ATL,DFW,1735,1905
NK,146,ATL,DFW,1835,1954
DL,29,ATL,DFW,1906,2035
AA,232,ATL,DFW,1921,2056
DL,1711,ATL,DFW,2205,2330
EV,5113,ATL,DHN,1025,1025
EV,5006,ATL,DHN,1345,1341
EV,5066,ATL,DHN,1729,1724
EV,5093,ATL,DHN,1931,1930
DL,2541,ATL,DSM,1000,1115
DL,1532,ATL,DSM,1505,1623
DL,1953,ATL,DSM,2041,2202
DL,2005,ATL,DTW,725,919
WN,2633,ATL,DTW,830,1030
DL,629,ATL,DTW,920,1116
DL,748,ATL,DTW,1050,1250
DL,991,ATL,DTW,1205,1408
DL,1231,ATL,DTW,1346,1547
DL,902,ATL,DTW,1459,1700
NK,770,ATL,DTW,1530,1725
WN,3023,ATL,DTW,1555,1750
DL,1166,ATL,DTW,1615,1817
DL,1267,ATL,DTW,1725,1925
DL,1448,ATL,DTW,1905,2109
DL,746,ATL,DTW,2055,2249
DL,1290,ATL,DTW,2200,2356
WN,505,ATL,DTW,2245,45
DL,1617,ATL,ECP,914,917
DL,1733,ATL,ECP,1108,1117
DL,2506,ATL,ECP,1355,1359
DL,1403,ATL,ECP,1657,1702
DL,2431,ATL,ECP,1950,1958
DL,507,ATL,ECP,2156,2205
DL,2136,ATL,ELP,940,1105
DL,2812,ATL,ELP,1402,1532
DL,2293,ATL,ELP,1934,2102
EV,4913,ATL,EVV,1000,1020
EV,5342,ATL,EVV,1636,1658
DL,2811,ATL,EVV,2130,2152
EV,5398,ATL,EWN,1320,1441
EV,5061,ATL,EWN,2110,2236
UA,224,ATL,EWR,550,804
DL,2343,ATL,EWR,726,934
DL,1920,ATL,EWR,855,1106
UA,387,ATL,EWR,1000,1214
DL,1444,ATL,EWR,1105,1317
UA,421,ATL,EWR,1119,1340
DL,1942,ATL,EWR,1236,1449
DL,2042,ATL,EWR,1342,1601
DL,2537,ATL,EWR,1505,1719
UA,356,ATL,EWR,1544,1806
DL,2142,ATL,EWR,1640,1859
UA,410,ATL,EWR,1739,2001
DL,1621,ATL,EWR,1825,2039
DL,504,ATL,EWR,1955,2212
DL,2286,ATL,EWR,2040,2259
UA,674,ATL,EWR,2052,2313
DL,2415,ATL,EWR,2150,2358
DL,1355,ATL,EYW,940,1129
EV,5105,ATL,EYW,1220,1406
DL,2036,ATL,EYW,1504,1655
EV,4877,ATL,EYW,1905,2056
EV,5162,ATL,FAY,810,927
EV,5063,ATL,FAY,1120,1232
DL,1165,ATL,FAY,1354,1508
EV,4943,ATL,FAY,1515,1630
EV,4957,ATL,FAY,1725,1838
DL,1742,ATL,FAY,2109,2229
DL,2227,ATL,FLL,700,845
NK,231,ATL,FLL,705,850
DL,2226,ATL,FLL,805,948
WN,153,ATL,FLL,810,1000
DL,1589,ATL,FLL,900,1049
DL,2026,ATL,FLL,1000,1151
NK,877,ATL,FLL,1010,1200
WN,2314,ATL,FLL,1015,1210
DL,1827,ATL,FLL,1130,1316
DL,1826,ATL,FLL,1300,1449
WN,3230,ATL,FLL,1345,1535
DL,1726,ATL,FLL,1410,1600
DL,1615,ATL,FLL,1500,1655
DL,1527,ATL,FLL,1555,1744
DL,2334,ATL,FLL,1704,1856
WN,163,ATL,FLL,1835,2020
DL,306,ATL,FLL,1920,2110
DL,1657,ATL,FLL,2055,2244
WN,540,ATL,FLL,2110,2300
DL,1427,ATL,FLL,2155,2346
DL,863,ATL,FLL,2310,100
DL,1767,ATL,FNT,932,1124
DL,2053,ATL,FNT,1505,1708
DL,1766,ATL,FNT,2107,2310
DL,795,ATL,FSD,1959,2141
EV,4914,ATL,FSM,1356,1450
EV,4980,ATL,FSM,2115,2208
OO,4670,ATL,FWA,912,1051
OO,4704,ATL,FWA,1354,1535
EV,5022,ATL,FWA,1727,1905
OO,4782,ATL,FWA,1940,2124
EV,5077,ATL,GNV,825,940
EV,5322,ATL,GNV,1154,1302
EV,5059,ATL,GNV,1308,1416
DL,2552,ATL,GNV,1508,1624
EV,4953,ATL,GNV,1734,1845
DL,2158,ATL,GNV,2045,2155
DL,1130,ATL,GPT,910,928
DL,956,ATL,GPT,1205,1230
DL,1550,ATL,GPT,1622,1647
DL,2194,ATL,GPT,2110,2137
DL,1224,ATL,GRB,1926,2043
EV,5165,ATL,GRK,1025,1152
EV,5303,ATL,GRK,1909,2036
DL,1367,ATL,GRR,838,1032
DL,751,ATL,GRR,1050,1248
DL,885,ATL,GRR,1505,1703
DL,1433,ATL,GRR,2112,2312
DL,1720,ATL,GSO,815,926
DL,2578,ATL,GSO,1051,1208
DL,1118,ATL,GSO,1207,1318
DL,1466,ATL,GSO,1502,1617
DL,1246,ATL,GSO,1630,1746
DL,2466,ATL,GSO,1759,1915
DL,1202,ATL,GSO,1940,2058
DL,1652,ATL,GSO,2057,2217
DL,1206,ATL,GSO,2305,16
EV,5403,ATL,GSP,850,946
EV,5188,ATL,GSP,1027,1124
DL,1341,ATL,GSP,1235,1329
DL,1934,ATL,GSP,1454,1549
DL,879,ATL,GSP,1648,1745
DL,1209,ATL,GSP,1907,2004
DL,893,ATL,GSP,2106,2209
DL,2493,ATL,GSP,2310,3
EV,5372,ATL,GTR,1025,1036
EV,4973,ATL,GTR,1527,1539
EV,5095,ATL,GTR,1929,1940
DL,837,ATL,HNL,1050,1554
WN,2851,ATL,HOU,620,740
DL,1633,ATL,HOU,817,933
WN,3038,ATL,HOU,935,1100
DL,1391,ATL,HOU,1050,1206
DL,2216,ATL,HOU,1257,1413
WN,1716,ATL,HOU,1320,1435
DL,1813,ATL,HOU,1455,1611
DL,2299,ATL,HOU,1611,1727
WN,4033,ATL,HOU,1700,1820
DL,905,ATL,HOU,1905,2025
WN,2181,ATL,HOU,1945,2110
DL,1241,ATL,HOU,2043,2207
EV,5030,ATL,HPN,731,948
EV,4965,ATL,HPN,942,1158
EV,5146,ATL,HPN,1217,1430
EV,5141,ATL,HPN,1444,1654
EV,5040,ATL,HPN,1612,1825
EV,5016,ATL,HPN,1818,2031
EV,4986,ATL,HPN,2046,2256
EV,4874,ATL,HSV,825,823
DL,1380,ATL,HSV,1031,1025
EV,5227,ATL,HSV,1208,1205
DL,1799,ATL,HSV,1350,1346
EV,5218,ATL,HSV,1728,1725
DL,2504,ATL,HSV,1921,1923
DL,1284,ATL,HSV,2205,2203
DL,1271,ATL,HSV,2315,2311
DL,201,ATL,IAD,726,904
DL,1145,ATL,IAD,934,1117
F9,1490,ATL,IAD,1115,1255
DL,2482,ATL,IAD,1135,1314
DL,1195,ATL,IAD,1504,1651
DL,1442,ATL,IAD,1611,1758
DL,2015,ATL,IAD,1915,2104
DL,1201,ATL,IAD,2156,2343
OO,5527,ATL,IAH,635,748
EV,5174,ATL,IAH,730,841
DL,1443,ATL,IAH,915,1035
NK,363,ATL,IAH,940,1050
DL,1675,ATL,IAH,1206,1324
DL,1489,ATL,IAH,1345,1506
OO,5169,ATL,IAH,1440,1558
DL,2208,ATL,IAH,1500,1622
NK,227,ATL,IAH,1558,1706
DL,1884,ATL,IAH,1625,1743
EV,5159,ATL,IAH,1740,1853
UA,1188,ATL,IAH,1856,2017
DL,2146,ATL,IAH,1925,2048
DL,2249,ATL,IAH,2205,2322
DL,2463,ATL,ICT,916,1030
DL,2567,ATL,ICT,1449,1612
DL,2459,ATL,ICT,1935,2102
EV,5462,ATL,ILM,947,1109
EV,4955,ATL,ILM,1233,1351
EV,4870,ATL,ILM,1624,1740
DL,1395,ATL,ILM,1931,2047
OO,4476,ATL,ILM,2210,2328
DL,796,ATL,IND,735,901
WN,1474,ATL,IND,825,1000
DL,1127,ATL,IND,950,1120
DL,1613,ATL,IND,1207,1339
DL,1534,ATL,IND,1440,1613
DL,2281,ATL,IND,1610,1744
WN,913,ATL,IND,1610,1735
DL,1535,ATL,IND,1914,2051
DL,1261,ATL,IND,2055,2231
DL,2804,ATL,IND,2208,2341
WN,2216,ATL,IND,2255,25
DL,1580,ATL,JAN,820,835
DL,1163,ATL,JAN,1050,1111
DL,1228,ATL,JAN,1211,1230
DL,2478,ATL,JAN,1454,1512
DL,799,ATL,JAN,1749,1810
DL,2041,ATL,JAN,1935,1959
DL,2542,ATL,JAN,2210,2231
DL,997,ATL,JAX,730,835
DL,2380,ATL,JAX,830,933
DL,1258,ATL,JAX,930,1037
WN,264,ATL,JAX,955,1110
DL,1317,ATL,JAX,1030,1138
DL,2342,ATL,JAX,1130,1239
DL,2297,ATL,JAX,1230,1337
DL,1416,ATL,JAX,1330,1433
WN,1027,ATL,JAX,1355,1500
DL,2546,ATL,JAX,1430,1537
DL,1789,ATL,JAX,1631,1743
DL,2555,ATL,JAX,1731,1841
WN,1201,ATL,JAX,1900,2010
DL,1273,ATL,JAX,1926,2036
DL,2593,ATL,JAX,2034,2146
DL,1090,ATL,JAX,2200,2311
DL,1070,ATL,JAX,2310,17
